year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2023,51559999.99999999,35010000.00000001,9499999.999999996,27.135104255926862,23538638.297872342,95376178723.40428,95376178723.40428
2024,51083348.83832654,34576726.101921566,9584235.078841072,27.718746565506784,23307625.33461273,94614443217.09056,92577733089.1297
2025,50667500.83457327,34147411.23143012,9718111.163237648,28.459291093471993,23079638.423123594,93865317025.08026,89867644717.4684
2026,50304889.473474614,33721983.0051972,9894472.13875527,29.34131168155308,22854628.51238348,93128606354.65907,87242964921.67197
2027,49988889.88702257,33300372.77393383,10107094.271331662,30.351294683533037,22632548.94897019,92404126700.99551,84700852944.51564
2028,49713702.60141155,32882515.411551528,10350570.352360716,31.47742872713622,22413355.34994814,91691702379.90892,82238571336.34589
2029,49467177.452923656,32468349.087334365,10613134.021837672,32.68763063157334,22197005.463788457,90991166009.9064,79853481507.17188
2030,49245070.21713373,32057819.289225437,10890911.748687789,33.97271551888809,21983461.945771206,90302369963.57448,77543049770.90092
2031,49040208.36889697,31650599.03005556,11180474.581019197,35.324685546716395,21772499.949333515,89624394511.18939,75318916824.86064
2032,48849484.17799424,31246649.357397832,11478955.623434903,36.73659691360537,21564090.90579341,88957122688.2041,73177517804.61333
2033,48670206.97769577,30845933.62198891,11783899.731723618,38.20244145025105,21358207.780404683,88300443656.65352,71115452694.39268
2034,48500049.6776631,30448417.18464126,12093210.415687831,39.71704125818359,21048966.710237827,86997931292.56595,68611863176.829765
2035,48336958.51623669,30054067.15553428,12405103.239974376,41.27595501725646,20741927.414108854,85705395620.16446,66202243764.791855
2036,48173119.22344111,29662852.18908177,12712031.38477242,42.85505420632286,20437067.75117451,84422737853.28767,63882707757.3216
2037,48008305.177081056,29274745.779277217,13014029.907831315,44.45480075541283,20134368.927617393,83149873099.19644,61649549937.13779
2038,47842290.93889592,28889721.711960193,13311134.680519732,46.07567637111919,19833812.346856803,81886717335.81262,59499228063.94196
2039,47672943.17404324,28507754.05791084,13603382.353360614,47.71818336066255,19535379.60387768,80633187387.61662,57428355234.605835
2040,47500085.11564709,28128818.251854997,13890810.85906531,49.38284550275858,19239053.222258743,79389203966.31313,55433694760.67561
2041,47317912.3731645,27752714.82739471,14173369.456723845,51.070208968289144,18944696.32296866,78154195253.50269,53501320665.41106
2042,47126530.14818053,27253088.917504568,14451093.267658906,53.02552423104237,18589128.665681828,76738602072.45071,51502216335.39092
2043,46926039.46440705,26763320.358450104,14724018.250964511,55.0156634295028,18239037.30064991,75342466948.92882,49573741722.17664
2044,46716537.1588347,26283069.574710265,14992181.160013983,57.041210949118195,17894249.51426653,73965252961.38824,47713298228.78724
2045,46497900.08820145,25812000.688155606,15255403.715522494,59.1019808957419,17553773.169282798,72601632517.29164,45915350756.61471
2046,46271415.92076152,25351193.71404208,15513538.917348789,61.194510571531026,17218575.589791473,71255863263.65941,44180635054.45636
2047,46036977.747256905,24900313.742407557,15766467.263296414,63.318347818423874,16888491.05269027,69927441762.53024,42506839647.99107
2048,45794500.40632818,24459029.61007962,16014094.1746172,65.47313785505928,16563355.65513719,68615869940.89499,40891738852.00522
2049,45518248.12423618,24023965.368651677,16230677.635146858,67.56036060693751,16241483.045991123,67316082277.591034,39330517929.75099
2050,45211333.62076176,23592230.207308196,16421995.159591863,69.60764207236669,15921699.81012252,66023917909.988655,37819166512.98562
2051,44876468.39858346,23163791.33800636,16590924.211220685,71.624389846747,15604017.272564854,64739536217.81915,36356333056.20289
2052,44516191.917137355,22738456.636763114,16739961.450241748,73.61960276220721,15250455.375688165,63227771692.840256,34811135851.80315
2053,44132788.53737298,22315991.59073049,16871354.885513376,75.60208479609449,14900893.42103023,61736254543.04035,33323485748.270325
2054,43728279.433778085,21896160.2945489,16987128.555821218,77.58039915359134,14555113.520815833,60264014525.28787,31890992340.316788
2055,43304439.107778646,21478725.574783497,17089065.164083358,79.56275201051174,14212898.087376688,58810085208.90857,30511363153.767555
2056,42867890.24270972,21063449.173280448,17177996.960474655,81.5535804186591,13907761.111816956,57430172765.08746,29211223887.853527
2057,42420032.043217435,20648181.72035344,17255455.55230177,83.5688865295709,13604664.36485504,56063556334.03605,27956970112.54385
2058,41962107.72867123,20232724.989143122,17322816.43485895,85.61781195639428,13303413.87919946,54709345636.68731,26746737006.287144
2059,41495220.1536271,19811552.982843325,17381314.616770916,87.73322632417066,13000238.487684712,53352995918.04118,25572190238.199604
2060,40928734.509594925,19384737.818674453,17340447.340737127,89.45412366646536,12695112.058969783,51994224412.77864,24432282869.541515
2061,40364361.80245046,18952251.239726752,17302171.91394049,91.29349170758432,12387944.40686785,50632490915.63052,23325881514.265472
2062,39801917.89168769,18514153.89419176,17266436.498699363,93.26073768953692,12078705.347139414,49267506346.44402,22252006659.460464
2063,39241220.32721369,18070501.372053858,17233190.551405072,95.36642175327967,11767349.917407364,47898898081.91878,21209671925.105923
2064,38682601.8941339,17621822.146160994,17202384.811376818,97.61978454154611,11454221.298442902,46527943357.455376,20198639247.457096
2065,38125859.989505135,17168105.098739102,17173971.046737034,100.0341677078757,11139232.060252665,45154112895.11416,19217876548.040646
2066,37570787.69561413,16709337.038477141,17147902.287233245,102.62467174937105,10919550.615752589,44344854612.827995,18503383427.03713
2067,37017180.765602164,16245502.677756287,17124132.819971696,105.40845155513993,10696886.7526,43525935014.1754,17805568748.226364
2068,36464837.51825839,15776583.72898077,17102618.183530487,108.40507981530791,10471167.6326151,42696925311.09787,17123958680.444012
2069,35913558.16329538,15302172.444520537,17083315.16381318,111.639802947917,10240526.935467009,41846900206.21061,16453969616.805502
2070,35363144.70924728,14822268.173269942,17066181.792069566,115.13880057065917,10004982.765413001,40975966415.04449,15795611048.144678
2071,34813807.17740263,14654918.863619568,16733403.664311407,114.18284754787432,9891810.254950048,40542401610.321106,15322037665.186579
2072,34265456.275174335,14480989.763324922,16404042.622705206,113.2798440632192,9773372.147636741,40086765262.80783,14852785029.996346
2073,33718001.94073477,14300461.666635705,16078042.667714199,112.43023506874434,9649675.691742023,39609134493.41692,14388054139.467072
2074,33173248.263257783,14119124.420311555,15755348.726931103,111.58870945471449,9535722.080724785,39138566288.24677,13938352755.721321
2075,32630834.341609433,13936843.7919272,15435761.385414127,110.75507206556455,9418632.78528256,38653364913.976,13495645876.79352
2076,32095124.264276125,13753487.741986282,15123801.642690575,109.9633920239812,9298381.119933177,38153423284.909,13059895627.088575
2077,31565690.765667703,13568923.82894205,14819197.712252881,109.21424498414562,9174938.326611966,37638624223.84314,12631059013.764515
2078,31042128.479404353,13383021.508231083,14521695.42032127,108.5083470230535,9048274.890337108,37108845344.33334,12209089943.720524
2079,30524060.22186138,13195660.160239246,14231056.663873473,107.84649264274063,8918250.698538333,36563265147.941444,11793715632.420748
2080,30011127.616866257,13006719.233212931,13947058.014166478,107.22963849755726,8784847.142528113,36001817761.49777,11384918801.654726
2081,29503061.888183698,12816100.469783138,13669489.460244425,106.65872581502731,8648353.966791585,35424993274.708694,10982851538.47951
2082,28999607.614437938,12623713.166604908,13398153.230194481,106.13480402611093,8508749.34155509,34832711015.976395,10587476065.124231
2083,28500521.639094908,12429465.632881116,13132862.766989259,105.65911001231916,8366009.181152783,34224879352.33743,10198749360.27464
2084,28005572.068685103,12233258.426433373,12873441.80354019,105.23313866830053,8256827.573474532,33816482190.74643,9879460945.649803
2085,27514538.07747835,12034991.387174236,12619723.527265295,104.8586004034387,8144109.415588156,33390918165.191658,9563855609.529049
2086,27026694.38529814,11834563.675378053,12371033.26716695,104.53307453070728,8027893.529146636,32948449373.106422,9252081682.437782
2087,26541896.929452654,11631873.443398021,12127273.811212434,104.25899035288757,7908216.841626181,32489328690.671577,8944272946.783335
2088,26060007.00655206,11426817.408370502,11888350.051890368,104.03903052814844,7785114.109650132,32013798661.5044,8640549121.681932
2089,25580955.76828749,11333932.080564102,11539627.316265536,101.81486208174981,7704668.30895645,31687490496.574875,8384782641.711841
2090,25104676.536411237,11231948.287110517,11202276.913446011,99.73583057092102,7618449.61493215,31336147643.524876,8129229705.53995
2091,24631195.068732005,11121177.164814897,10875890.235081812,97.79441577003986,7528020.091449965,30966393890.81518,7875792267.514761
2092,24160534.417229787,11003830.232949205,10560065.45396904,95.96717897690404,7434474.669201102,30581675954.447746,7625436859.539498
2093,23692715.05058579,10880080.979484597,10254407.39246137,94.24936645046124,7337889.171540138,30182377727.944542,7378307063.906339
