year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,11932188319.290466,11932188319.290466,2785903663.4799237,2785903663.4799237,9146284655.810543,9146284655.810543,100646284655.81055,100646284655.81055,36.1269795417446,2100000000000000.0,2100000000000000.0
2024,12358924335.314754,12092880954.319721,3158815646.1275506,3090817657.6590514,9200108689.187204,9002063296.66067,109846393344.99776,107481793879.64555,34.77455022728548,2186977799999999.8,2139899999999999.8
2025,12791335095.574087,12246559157.990057,3568601163.0947604,3416616399.1930566,9222733932.479326,8829942758.797,119069127277.47708,113998038531.44432,33.36577046178453,2277558046520399.5,2180558099999999.5
2026,13228432732.598505,12392408069.156631,4017924470.7075524,3763995375.609201,9210508261.890953,8628412693.54743,128279635539.36804,120172481706.70235,31.926840953478184,2371889945691181.0,2221988703899999.2
2027,13669107006.260866,12529581348.315224,4509602938.419261,4133659707.224854,9159504067.841606,8395921641.09037,137439139607.20966,125981520179.93806,30.476993536682816,2470128883461818.5,2264206489274099.0
2028,14013242571.309397,12568520585.202507,5024023254.364751,4506061988.986125,8989219316.944647,8062458596.216382,146428358924.1543,131332047813.3769,29.145637173741353,2572436681557039.5,2307226412570306.5
2029,14352872457.3837,12596023170.26803,5576514878.540808,4893927039.90128,8776357578.842892,7702096130.36675,155204716502.9972,136207035282.39894,27.83184836469211,2678981864033769.0,2351063714409142.0
2030,14686496645.816998,12611360486.176968,6169188166.614605,5297509525.417926,8517308479.202393,7313850960.759042,163722024982.1996,140588836559.97522,26.538666119507173,2789939934878319.5,2395733924982915.5
2031,15054003405.03201,12651145221.440979,6723731227.345107,5650516869.064018,8330272177.686902,7000628352.376961,172052297159.88647,144590016256.05203,25.58881242310187,2903214620967106.5,2439815429202601.0
2032,15418636362.587957,12683610967.284054,7310322573.600297,6013585468.15991,8108313788.98766,6670025499.124144,180160610948.87415,148202930996.4343,24.6446868978787,3018717504990680.0,2483244143842407.5
2033,15719092867.450495,12659850380.374716,8176250903.143462,6584992784.191646,7542841964.307033,6074857596.18307,187703452913.18118,151172694874.8538,22.957154218569325,3136351130222557.5,2525955943116497.0
2034,15943086220.959621,12573688065.412136,9060369305.321487,7145558634.236013,6882716915.638134,5428129431.176123,194586169828.8193,153462495740.27698,21.476626754555326,3256008947634718.0,2567886811772230.5
2035,16143569809.045456,12469933030.458029,10001052680.24618,7725209394.942783,6142517128.799276,4744723635.515245,200728686957.6186,155050791941.3693,20.070755886937054,3377575297703607.5,2608973000760586.0
2036,16317295117.476625,12347301472.160631,11000400044.150671,8324005583.132583,5316895073.3259535,4023295889.0280485,206045582030.94455,155914745674.8522,18.730735355438895,3500925428399838.0,2649151184972299.0
2037,16460778483.47333,12204463426.064558,12060495850.307772,8941975657.655903,4400282633.165559,3262487768.408655,210445864664.1101,156030218196.44336,17.44918843106602,3625925550709803.0,2688358622509889.0
2038,16570293118.164206,12040043628.575579,13178847971.416935,9575805534.561592,3391445146.7472706,2464238094.0139866,213837309810.8574,155375075213.22546,16.225796843141403,3752432932877891.5,2726533314949529.5
2039,16641991880.295998,11852715395.197699,14343831450.661476,10215925658.67496,2298160429.634522,1636789736.5227394,216135470240.4919,153935432368.58063,15.068182513433303,3880296034384485.0,2763614168032843.5
2040,16672173169.069971,11641383365.4701,15556649019.813766,10862466055.576553,1115524149.2562037,778917309.893547,217250994389.7481,151696007867.32553,13.965153685285681,4009354680488112.5,2799541152217270.0
2041,16723605100.838327,11448329245.531517,16746545339.4647,11464033240.165583,-22940238.626374736,-15703994.634065628,217228054151.12173,148705872345.88113,12.971514407762943,4140252092096688.0,2834255462504764.0
2042,16727730583.668468,11226620971.109844,17987671891.666134,12072215861.58136,-1259941307.997666,-845594890.4715157,215968112843.12405,144944476036.86295,12.006451648875373,4272889208119097.5,2867699676962320.5
2043,16689235456.464333,10981162172.724934,19274095500.168365,12681945135.956266,-2584860043.704032,-1700782963.2313328,213383252799.42,140401644523.8892,11.070986589101214,4407160478595033.0,2899817913344299.0
2044,16731561465.68529,10793148810.864868,20736951062.31604,13376934314.123936,-4005389596.630749,-2583785503.2590675,209377863202.78928,135064885598.5931,10.096848981009485,4542953907261503.0,2930555983225748.5
2045,16723334775.51711,10576315647.65818,22270664984.471233,14084606074.133497,-5547330208.9541235,-3508290426.475317,203830532993.83514,128908264081.94928,9.152422396725063,4680151115260800.0,2959861543058006.0
2046,16657842435.494896,10328329820.58017,23878374461.121525,14805262324.265364,-7220532025.626628,-4476932503.685194,196610000968.20853,121903718557.04941,8.233810106643839,4818627426459137.0,2987684241562751.5
2047,16527345675.906652,10046488399.195553,25563412380.320457,15539248162.34309,-9036066704.413807,-5492759763.147537,187573934263.7947,114020689802.58717,7.337593724701448,4958251974768217.0,3013975862888503.5
2048,16323247948.123585,9727866059.064255,27329305874.820377,16286944110.777388,-11006057926.696793,-6559078051.713133,176567876337.0979,105225911950.82329,6.4607523200864465,5098887833780542.0,3038690464964189.0
2049,16112715983.644764,9414116856.629465,28624131289.589733,16724115112.140528,-12511415305.94497,-7309998255.511063,164056461031.15292,95852660519.8059,5.7314040161218225,5240392168943620.0,3061784512497917.0
2050,15831802603.440275,9068616310.781576,29949603378.91953,17155435076.261578,-14117800775.479256,-8086818765.480001,149938660255.67368,85886377822.56499,5.006365471978511,5382616412408749.0,3083217004085402.0
2051,15473044428.740477,8689329419.22863,31101113069.855682,17465717106.4978,-15628068641.115204,-8776387687.269169,134310591614.55847,75425943511.32396,4.318513980926848,5527053541219325.0,3103874558012774.0
2052,15025653752.211136,8272631788.629166,32261079933.263866,17761891748.114532,-17235426181.05273,-9489259959.485367,117075165433.50574,64457743482.9891,3.628990897877274,5673675217560791.0,3123739355184055.5
2053,14497012504.632755,7825077714.324768,33442932033.36282,18051549729.457493,-18945919528.730064,-10226472015.132725,98129245904.77567,52967394144.66051,2.9342297441767813,5822450329115670.0,3142794165250678.0
2054,13878747657.722431,7344466490.195234,34656648348.285385,18339881863.536407,-20777900690.562954,-10995415373.341173,77351345214.2127,40933402415.54167,2.2319338107038735,5973344951845031.0,3161022371409132.0
