 year , nominal_revenue , real_revenue , nominal_expenditure , real_expenditure , nominal_balance , real_balance , nominal_reserve_fund , real_reserve_fund , fund_ratio , nominal_gdp , real_gdp 
" 2,023 "," 10,019,599,006 "," 10,019,599,006 "," 2,651,540,207 "," 2,651,540,207 "," 7,368,058,799 "," 7,368,058,799 "," 98,868,058,799 "," 98,868,058,799 ", 37 ," 2,100,000,000,000,000 "," 2,100,000,000,000,000 "
" 2,024 "," 10,370,518,929 "," 10,147,278,795 "," 2,997,322,726 "," 2,932,801,102 "," 7,373,196,203 "," 7,214,477,693 "," 106,241,255,002 "," 103,954,261,254 ", 35 ," 2,186,977,799,999,990 "," 2,139,899,999,999,990 "
" 2,025 "," 10,725,409,677 "," 10,268,620,368 "," 3,375,747,364 "," 3,231,976,138 "," 7,349,662,313 "," 7,036,644,231 "," 113,590,917,314 "," 108,753,142,522 ", 34 ," 2,277,558,046,520,390 "," 2,180,558,099,999,990 "
" 2,026 "," 11,083,392,633 "," 10,382,932,512 "," 3,788,970,190 "," 3,549,510,793 "," 7,294,422,443 "," 6,833,421,719 "," 120,885,339,757 "," 113,245,498,551 ", 32 ," 2,371,889,945,691,180 "," 2,221,988,703,899,990 "
" 2,027 "," 11,443,489,545 "," 10,489,502,577 "," 4,239,251,529 "," 3,885,846,154 "," 7,204,238,017 "," 6,603,656,423 "," 128,089,577,774 "," 117,411,384,946 ", 30 ," 2,470,128,883,461,810 "," 2,264,206,489,274,090 "
" 2,028 "," 11,693,382,523 "," 10,487,830,936 "," 4,721,734,192 "," 4,234,937,994 "," 6,971,648,331 "," 6,252,892,941 "," 135,061,226,105 "," 121,136,831,245 ", 29 ," 2,572,436,681,557,030 "," 2,307,226,412,570,300 "
" 2,029 "," 11,936,499,969 "," 10,475,424,388 "," 5,239,637,471 "," 4,598,284,781 "," 6,696,862,498 "," 5,877,139,607 "," 141,758,088,603 "," 124,406,328,692 ", 27 ," 2,678,981,864,033,760 "," 2,351,063,714,409,140 "
" 2,030 "," 12,171,408,078 "," 10,451,642,662 "," 5,794,875,128 "," 4,976,085,241 "," 6,376,532,950 "," 5,475,557,421 "," 148,134,621,553 "," 127,203,863,382 ", 26 ," 2,789,939,934,878,310 "," 2,395,733,924,982,910 "
" 2,031 "," 12,434,367,172 "," 10,449,644,563 "," 6,313,832,302 "," 5,306,044,326 "," 6,120,534,870 "," 5,143,600,236 "," 154,255,156,423 "," 129,633,582,015 ", 24 ," 2,903,214,620,967,100 "," 2,439,815,429,202,600 "
" 2,032 "," 12,691,386,388 "," 10,440,132,564 "," 6,862,376,320 "," 5,645,097,887 "," 5,829,010,068 "," 4,795,034,677 "," 160,084,166,491 "," 131,687,734,379 ", 23 ," 3,018,717,504,990,680 "," 2,483,244,143,842,400 "
" 2,033 "," 12,920,103,858 "," 10,405,599,300 "," 7,665,109,606 "," 6,173,329,567 "," 5,254,994,252 "," 4,232,269,733 "," 165,339,160,743 "," 133,160,930,766 ", 22 ," 3,136,351,130,222,550 "," 2,525,955,943,116,490 "
" 2,034 "," 13,074,635,218 "," 10,311,453,035 "," 8,508,714,605 "," 6,710,490,164 "," 4,565,920,614 "," 3,600,962,871 "," 169,905,081,357 "," 133,997,487,318 ", 20 ," 3,256,008,947,634,710 "," 2,567,886,811,772,230 "
" 2,035 "," 13,205,112,369 "," 10,200,152,063 "," 9,408,669,249 "," 7,267,628,959 "," 3,796,443,119 "," 2,932,523,104 "," 173,701,524,476 "," 134,173,940,654 ", 18 ," 3,377,575,297,703,600 "," 2,608,973,000,760,580 "
" 2,036 "," 13,308,341,229 "," 10,070,425,279 "," 10,367,333,755 "," 7,844,964,157 "," 2,941,007,473 "," 2,225,461,122 "," 176,642,531,950 "," 133,665,450,008 ", 17 ," 3,500,925,428,399,830 "," 2,649,151,184,972,290 "
" 2,037 "," 13,380,890,108 "," 9,920,951,436 "," 11,387,092,198 "," 8,442,696,097 "," 1,993,797,910 "," 1,478,255,339 "," 178,636,329,860 "," 132,445,774,453 ", 16 ," 3,625,925,550,709,800 "," 2,688,358,622,509,880 "
" 2,038 "," 13,419,080,346 "," 9,750,359,373 "," 12,466,041,441 "," 9,057,877,356 "," 953,038,905 "," 692,482,017 "," 179,589,368,765 "," 130,490,379,364 ", 14 ," 3,752,432,932,877,890 "," 2,726,533,314,949,520 "
" 2,039 "," 13,419,100,262 "," 9,557,316,060 "," 13,593,637,390 "," 9,681,624,431 ","-174,537,128 ","-124,308,371 "," 179,414,831,637 "," 127,782,356,365 ", 13 ," 3,880,296,034,384,480 "," 2,763,614,168,032,840 "
" 2,040 "," 13,377,255,508 "," 9,340,699,510 "," 14,771,467,714 "," 10,314,211,398 ","-1,394,212,205 ","-973,511,888 "," 178,020,619,431 "," 124,303,308,078 ", 12 ," 4,009,354,680,488,110 "," 2,799,541,152,217,270 "
" 2,041 "," 13,344,203,641 "," 9,134,922,517 "," 15,932,707,257 "," 10,906,911,360 ","-2,588,503,616 ","-1,771,988,843 "," 175,432,115,815 "," 120,093,999,469 ", 11 ," 4,140,252,092,096,680 "," 2,834,255,462,504,760 "
" 2,042 "," 13,263,201,721 "," 8,901,442,897 "," 17,146,266,282 "," 11,507,516,316 ","-3,883,064,562 ","-2,606,073,419 "," 171,549,051,254 "," 115,133,141,746 ", 10 ," 4,272,889,208,119,090 "," 2,867,699,676,962,320 "
" 2,043 "," 13,134,945,699 "," 8,642,515,064 "," 18,409,433,247 "," 12,113,015,753 ","-5,274,487,549 ","-3,470,500,689 "," 166,274,563,705 "," 109,405,128,474 ", 9 ," 4,407,160,478,595,030 "," 2,899,817,913,344,290 "
" 2,044 "," 13,098,541,148 "," 8,449,570,239 "," 19,768,251,934 "," 12,752,048,594 ","-6,669,710,787 ","-4,302,478,355 "," 159,604,852,919 "," 102,957,451,522 ", 8 ," 4,542,953,907,261,500 "," 2,930,555,983,225,740 "
" 2,045 "," 13,009,658,722 "," 8,227,680,601 "," 21,187,752,560 "," 13,399,741,257 ","-8,178,093,838 ","-5,172,060,656 "," 151,426,759,080 "," 95,766,617,307 ", 7 ," 4,680,151,115,260,800 "," 2,959,861,543,058,000 "
" 2,046 "," 12,861,810,632 "," 7,974,683,565 "," 22,670,149,776 "," 14,056,129,110 ","-9,808,339,144 ","-6,081,445,545 "," 141,618,419,936 "," 87,807,394,951 ", 6 ," 4,818,627,426,459,130 "," 2,987,684,241,562,750 "
" 2,047 "," 12,647,588,269 "," 7,688,097,733 "," 24,217,721,811 "," 14,721,242,358 ","-11,570,133,542 ","-7,033,144,625 "," 130,048,286,394 "," 79,052,536,700 ", 5 ," 4,958,251,974,768,210 "," 3,013,975,862,888,500 "
" 2,048 "," 12,358,800,761 "," 7,365,247,335 "," 25,832,815,185 "," 15,395,108,060 ","-13,474,014,424 ","-8,029,860,724 "," 116,574,271,970 "," 69,472,626,236 ", 5 ," 5,098,887,833,780,540 "," 3,038,690,464,964,180 "
" 2,049 "," 12,013,067,619 "," 7,018,830,499 "," 27,028,383,277 "," 15,791,773,335 ","-15,015,315,659 ","-8,772,942,836 "," 101,558,956,311 "," 59,337,475,043 ", 4 ," 5,240,392,168,943,620 "," 3,061,784,512,497,910 "
" 2,050 "," 11,592,004,020 "," 6,640,016,893 "," 28,249,332,132 "," 16,181,502,547 ","-16,657,328,113 ","-9,541,485,654 "," 84,901,628,199 "," 48,632,509,486 ", 3 ," 5,382,616,412,408,740 "," 3,083,217,004,085,400 "
" 2,051 "," 11,088,017,550 "," 6,226,792,506 "," 29,302,533,466 "," 16,455,673,431 ","-18,214,515,916 ","-10,228,880,925 "," 66,687,112,283 "," 37,450,049,944 ", 2 ," 5,527,053,541,219,320 "," 3,103,874,558,012,770 "
" 2,052 "," 10,489,117,632 "," 5,774,963,897 "," 30,361,700,203 "," 16,716,155,609 ","-19,872,582,571 ","-10,941,191,712 "," 46,814,529,712 "," 25,774,543,527 ", 2 ," 5,673,675,217,560,790 "," 3,123,739,355,184,050 "
" 2,053 "," 9,802,540,362 "," 5,291,134,301 "," 31,437,892,671 "," 16,969,286,137 ","-21,635,352,309 ","-11,678,151,836 "," 25,179,177,403 "," 13,591,008,485 ", 1 ," 5,822,450,329,115,670 "," 3,142,794,165,250,670 "
" 2,054 "," 9,019,640,716 "," 4,773,085,485 "," 32,540,222,313 "," 17,219,894,637 ","-23,520,581,597 ","-12,446,809,153 "," 1,658,595,805 "," 877,708,970 ", 0 ," 5,973,344,951,845,030 "," 3,161,022,371,409,130 "
" 2,055 "," 8,130,582,805 "," 4,218,241,884 "," 33,670,077,368 "," 17,468,431,721 ","-25,539,494,563 ","-13,250,189,838 ", - , - , - ," 6,126,322,316,061,780 "," 3,178,407,994,451,880 "
" 2,056 "," 8,048,069,304 "," 4,093,561,676 "," 34,799,339,807 "," 17,700,300,335 ","-26,751,270,503 ","-13,606,738,659 ", - , - , - ," 6,281,342,775,947,410 "," 3,194,935,716,023,030 "
" 2,057 "," 8,025,845,629 "," 4,002,213,578 "," 35,953,997,450 "," 17,929,023,734 ","-27,928,151,821 ","-13,926,810,156 ", - , - , - ," 6,438,363,782,660,540 "," 3,210,590,901,031,540 "
" 2,058 "," 7,999,610,540 "," 3,910,912,784 "," 37,097,232,051 "," 18,136,387,811 ","-29,097,621,512 ","-14,225,475,027 ", - , - , - ," 6,597,339,861,181,990 "," 3,225,359,619,176,290 "
" 2,059 "," 7,967,133,393 "," 3,818,661,863 "," 38,231,141,666 "," 18,324,257,352 ","-30,264,008,273 ","-14,505,595,489 ", - , - , - ," 6,758,222,591,036,780 "," 3,239,228,665,538,740 "
" 2,060 "," 7,927,992,720 "," 3,725,393,789 "," 39,357,055,941 "," 18,494,029,568 ","-31,429,063,221 ","-14,768,635,779 ", - , - , - ," 6,920,960,591,028,940 "," 3,252,185,580,200,900 "
" 2,061 "," 7,881,684,429 "," 3,631,013,087 "," 39,798,062,622 "," 18,334,568,899 ","-31,916,378,192 ","-14,703,555,812 ", - , - , - ," 7,086,205,446,100,350 "," 3,264,543,885,405,660 "
" 2,062 "," 7,829,822,313 "," 3,536,392,872 "," 40,215,571,381 "," 18,163,638,238 ","-32,385,749,067 ","-14,627,245,366 ", - , - , - ," 7,253,950,101,420,440 "," 3,276,296,243,393,120 "
" 2,063 "," 7,772,092,157 "," 3,441,488,874 "," 40,611,828,417 "," 17,982,951,414 ","-32,839,736,260 ","-14,541,462,540 ", - , - , - ," 7,424,185,802,400,570 "," 3,287,435,650,620,660 "
" 2,064 "," 7,708,238,775 "," 3,346,288,768 "," 40,988,868,576 "," 17,794,024,618 ","-33,280,629,801 ","-14,447,735,850 ", - , - , - ," 7,596,902,060,907,620 "," 3,297,955,444,702,650 "
" 2,065 "," 7,637,870,176 "," 3,250,725,941 "," 41,348,508,710 "," 17,598,187,294 ","-33,710,638,534 ","-14,347,461,353 ", - , - , - ," 7,772,086,622,432,150 "," 3,307,849,311,036,750 "
" 2,066 "," 7,647,657,894 "," 3,191,070,251 "," 41,752,329,319 "," 17,421,623,435 ","-34,104,671,425 ","-14,230,553,185 ", - , - , - ," 7,949,725,434,274,460 "," 3,317,111,289,107,660 "
" 2,067 "," 7,658,441,108 "," 3,132,911,438 "," 42,149,677,006 "," 17,242,569,778 ","-34,491,235,897 ","-14,109,658,340 ", - , - , - ," 8,129,802,614,811,640 "," 3,325,735,778,459,340 "
" 2,068 "," 7,670,241,687 "," 3,076,214,523 "," 42,542,483,692 "," 17,062,018,579 ","-34,872,242,005 ","-13,985,804,056 ", - , - , - ," 8,312,300,423,908,940 "," 3,333,717,544,327,640 "
" 2,069 "," 7,680,900,509 "," 3,020,087,581 "," 42,930,393,416 "," 16,879,993,152 ","-35,249,492,907 ","-13,859,905,571 ", - , - , - ," 8,497,199,234,538,370 "," 3,341,051,722,925,160 "
" 2,070 "," 7,690,394,197 "," 2,964,529,849 "," 43,315,043,039 "," 16,697,289,466 ","-35,624,648,842 ","-13,732,759,617 ", - , - , - ," 8,684,477,505,667,590 "," 3,347,733,826,371,010 "
" 2,071 "," 7,715,066,012 "," 2,915,725,939 "," 43,342,943,177 "," 16,380,435,828 ","-35,627,877,165 ","-13,464,709,888 ", - , - , - ," 8,875,883,389,892,510 "," 3,354,429,294,023,750 "
" 2,072 "," 7,740,199,368 "," 2,867,867,151 "," 43,335,773,045 "," 16,056,594,163 ","-35,595,573,677 ","-13,188,727,012 ", - , - , - ," 9,071,507,859,805,740 "," 3,361,138,152,611,800 "
" 2,073 "," 7,765,840,180 "," 2,820,948,511 "," 43,293,284,345 "," 15,726,324,925 ","-35,527,444,164 ","-12,905,376,414 ", - , - , - ," 9,271,443,893,035,860 "," 3,367,860,428,917,020 "
" 2,074 "," 7,787,127,988 "," 2,773,216,986 "," 43,250,000,461 "," 15,402,550,994 ","-35,462,872,473 ","-12,629,334,008 ", - , - , - ," 9,475,786,516,438,370 "," 3,374,596,149,774,860 "
" 2,075 "," 7,811,430,245 "," 2,727,325,205 "," 43,220,014,586 "," 15,090,070,760 ","-35,408,584,342 ","-12,362,745,555 ", - , - , - ," 9,684,632,851,260,670 "," 3,381,345,342,074,410 "
" 2,076 "," 7,838,812,555 "," 2,683,221,190 "," 43,204,865,321 "," 14,789,001,434 ","-35,366,052,766 ","-12,105,780,245 ", - , - , - ," 9,898,082,159,302,450 "," 3,388,108,032,758,550 "
" 2,077 "," 7,869,383,570 "," 2,640,868,266 "," 43,201,273,570 "," 14,497,815,666 ","-35,331,890,000 ","-11,856,947,401 ", - , - , - ," 10,116,235,890,093,400 "," 3,394,884,248,824,070 "
" 2,078 "," 7,903,251,955 "," 2,600,229,489 "," 43,206,105,143 "," 14,215,134,395 ","-35,302,853,188 ","-11,614,904,906 ", - , - , - ," 10,339,197,729,111,100 "," 3,401,674,017,321,720 "
" 2,079 "," 7,940,333,726 "," 2,561,205,560 "," 43,216,138,337 "," 13,939,642,541 ","-35,275,804,611 ","-11,378,436,981 ", - , - , - ," 10,567,073,647,060,700 "," 3,408,477,365,356,360 "
" 2,080 "," 7,980,735,661 "," 2,523,762,219 "," 43,228,472,978 "," 13,670,216,822 ","-35,247,737,317 ","-11,146,454,603 ", - , - , - ," 10,799,971,950,241,900 "," 3,415,294,320,087,080 "
" 2,081 "," 8,024,102,995 "," 2,487,721,910 "," 43,239,152,557 "," 13,405,484,357 ","-35,215,049,561 ","-10,917,762,447 ", - , - , - ," 11,038,003,332,025,300 "," 3,422,124,908,727,250 "
" 2,082 "," 8,070,555,044 "," 2,453,062,247 "," 43,245,466,704 "," 13,144,550,921 ","-35,174,911,660 ","-10,691,488,674 ", - , - , - ," 11,281,280,925,463,100 "," 3,428,969,158,544,700 "
" 2,083 "," 8,120,212,469 "," 2,419,760,516 "," 43,244,776,072 "," 12,886,608,825 ","-35,124,563,603 ","-10,466,848,309 ", - , - , - ," 11,529,920,357,060,300 "," 3,435,827,096,861,790 "
" 2,084 "," 8,206,626,899 "," 2,397,560,145 "," 43,258,773,161 "," 12,638,019,460 ","-35,052,146,262 ","-10,240,459,315 ", - , - , - ," 11,784,039,801,729,900 "," 3,442,698,751,055,520 "
" 2,085 "," 8,288,779,422 "," 2,374,079,358 "," 43,257,592,873 "," 12,389,877,098 ","-34,968,813,451 ","-10,015,797,740 ", - , - , - ," 12,043,760,038,960,000 "," 3,449,584,148,557,630 "
