year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2023,10871356085.106384,2565945911.392405,8305410173.71398,99805410173.71397,38.89614731572996
2024,10784357485.147217,2770418045.4272084,8013939439.720009,105670896556.85696,38.9817184664109
2025,10695379185.303766,2982937641.9091187,7712441543.394648,111108622127.40343,38.904996351128744
2026,10603847779.725712,3203394378.2108684,7400453401.514843,116117304798.19138,38.693607787289814
2027,10509196267.297646,3431663863.657412,7077532403.640234,120695247470.3637,38.369753683171574
2028,10410865627.79071,3667608427.7842712,6743257200.006439,124840368227.75955,37.9512913454455
2029,10308306556.092697,3908665072.7289968,6399641483.363701,128552643663.16754,37.476405465331055
2030,10201042744.006815,4154494791.211474,6046547952.7953415,131831913572.33307,36.95375777857801
2031,10124976518.618961,4354321519.046317,5770654999.572644,134789947984.82716,36.834873342893395
2032,10049765822.588015,4556258571.565877,5493507251.022138,137433550305.8647,36.66801971870955
2033,9974915881.703642,4760198923.006829,5214716958.696813,139768809680.3188,36.45726386610144
2034,9853359378.17663,4953646704.007772,4899712674.168858,141766937194.65335,36.28771652867546
2035,9732171783.02762,5147707999.861657,4584463783.165963,143435528616.32303,36.072670046118354
2036,9610838533.19688,5342265067.252923,4268573465.9439573,144781434571.2761,35.81488485396096
2037,9488855382.508507,5537207632.112382,3951647750.396125,145810784112.6106,35.51652907826749
2038,9365727801.017784,5732432741.735453,3633295059.2823315,146529006655.3335,35.17926551171582
2039,9240970433.536423,5927844608.911814,3313125824.624609,146940852403.07346,34.80432325721766
2040,9114106817.874172,6123354694.526604,2990752123.3475685,147050411342.047,34.392555618150354
2041,9025814399.77427,6289399615.312976,2736414784.461293,146903484727.64462,34.12013187789906
2042,8926080970.484688,6459123634.3011265,2466957336.1835613,146489981578.9724,33.79265322253283
2043,8826283406.075396,6626719549.198127,2199563856.877269,145817192855.86984,33.44246480582538
2044,8725960707.174229,6792053894.664824,1933906812.5094051,144891939024.1465,33.069787887482306
2045,8624372322.344748,6954772897.850794,1669599424.4939537,143720520036.4023,32.675655372595
2046,8521323762.707174,7114666615.588452,1406657147.118722,142309127771.04257,32.260185045790635
2047,8416340113.971069,7271534895.491688,1144805218.4793816,140663557935.18777,31.823235240262996
2048,8308938259.003607,7425193885.8186035,883744373.1850033,138789193329.25143,31.364390218666834
2049,8198381140.085947,7564206100.862658,634175039.2232895,136702011636.52863,30.931481320511704
2050,8084365452.791334,7690913349.879593,393452102.91174126,134415032138.72412,30.511198029872883
2051,7966747813.871172,7755016695.8819,211731117.98927212,131991174391.2482,30.307608350068143
2052,7835805483.763889,7799434732.63299,36370751.13089943,129439482899.41345,30.143475436492114
2053,7703829544.446973,7834610172.366793,-130780627.91981983,126770673195.03455,29.977213333115127
2054,7570656661.02582,7861523571.446916,-290866910.42109585,123994106810.20102,29.804672183396068
2055,7436099778.073439,7881046407.314092,-444946629.24065304,121117903184.68192,29.622019017294985
2056,7302540961.469886,7882634053.932838,-580093092.4629526,118162949245.4605,29.471370095399095
2057,7167449381.997969,7878035022.252991,-710585640.255022,115135443031.76506,29.30769548331403
2058,7030624346.310691,7867898868.015871,-837274521.7051802,112040610803.55469,29.127781741631757
2059,6891243450.03023,7852962766.43935,-961719316.4091206,108882016765.50723,28.927673220093418
2060,6749087995.099024,7833735192.475462,-1084647197.3764381,105662428062.92477,28.704022113984085
2061,6603895041.529929,7679817019.425211,-1075921977.8952818,102514693770.07018,28.975202134288853
2062,6461068098.417846,7526618845.091105,-1065550746.6732597,99439050988.68965,29.25152060923243
2063,6320589317.034985,7374500339.572132,-1053911022.5371475,96435354652.64879,29.532162792796584
2064,6182493789.049726,7223768675.819827,-1041274886.7701015,93503190458.964,29.816340753573137
2065,6046737759.554577,7074667849.650283,-1027930090.095706,90641864477.51607,30.103340478119428
2066,5934583908.434351,6954617263.266859,-1020033354.8325081,87844539662.3401,30.271477877335634
2067,5823319949.049877,6836544262.968409,-1013224313.9185314,85108873394.25803,30.431998265132204
2068,5712847051.288638,6720616846.517666,-1007769795.2290277,82432302159.9259,30.583044962409044
2069,5602673517.52919,6606472404.332352,-1003798886.8031616,79812183622.92812,30.72501970602447
2070,5492717446.189039,6494261862.568945,-1001544416.3799057,77245694429.62805,30.855831875109693
2071,5398448531.223482,6262958515.075647,-864509983.8521652,74866562986.3714,31.63015401277176
2072,5310756967.635646,6038313097.474654,-727556129.8390083,72671035033.27022,32.48170629909513
2073,5229927101.447524,5820242099.998925,-590314998.5514011,70655797779.16449,33.419507366709915
2074,5157179029.29864,5604140992.927992,-446961963.6293516,68823428015.94368,34.48424393907234
2075,5092436682.233636,5394397569.926062,-301960887.6924257,67171988147.54647,35.664725399367605
2076,5036101324.442747,5192347714.600297,-156246390.15754986,65698643950.57428,36.9646367019992
2077,4988534186.672224,4997714834.776833,-9180648.104608536,64401254597.55645,38.398727481986796
2078,4950146457.2332,4810230498.072553,139915959.1606474,63278400858.72579,39.98377141695427
2079,4921384755.329065,4629603191.7989645,291781563.5301008,62329429464.24165,41.73915981422843
2080,4902782705.321684,4455584493.96409,447198211.35759354,61554481999.829796,43.6867249941747
2081,4894959971.019761,4287848085.87156,607111885.148201,60954643257.53036,45.85239942746002
2082,4898604667.77776,4126165923.529006,772438744.2487535,60531892918.29813,48.26501019549591
2083,4914494029.357433,3970316463.7636733,944177565.59376,60289170622.74878,50.957626560779794
2084,4949020196.814659,3827148463.6122527,1121871733.2024064,60228901755.50513,53.86725102443593
