year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio
2023,10871356085.106384,10871356085.106384,2565945911.392405,2565945911.392405,8305410173.71398,8305410173.71398,99805410173.71397,99805410173.71397,38.89614731572996
2024,10784357485.147217,10552208889.576532,2770418045.4272084,2710780866.3671317,8013939439.720009,7841428023.209402,107819349613.43399,105498385140.34637,38.91807945425358
2025,10691122638.612783,10235793596.276041,2982937641.9091187,2855895965.7678995,7708184996.703665,7379897630.508141,115527534610.13765,110607280351.0036,38.7294501189098
2026,10591429949.008444,9922061412.50241,3203394378.2108684,3000942828.503418,7388035570.797575,6921118583.998992,122915570180.93523,115147420297.30977,38.37041452560236
2027,10485088206.891483,9610998404.82149,3431663863.657412,3145583066.990052,7053424343.234072,6465415337.831438,129968994524.1693,119134124043.61398,37.873463045314246
2028,10371937567.269419,9302622869.71031,3667608427.7842712,3289489337.56747,6704329139.485147,6013133532.14284,136673323663.65445,122582726529.80818,37.264971535203806
2029,10251850425.482548,8996982721.118608,3908665072.7289968,3430228755.052027,6343185352.7535515,5566753966.066583,143016509016.408,125510713388.57947,36.589604469884925
2030,10124786166.30486,8694199254.46251,4154494791.211474,3567483295.2646475,5970291375.093386,5126715959.197863,148986800391.50137,127935633169.15819,35.861592775774305
2031,10026061333.445606,8425742609.178375,4354321519.046317,3659302605.1719103,5671739814.399289,4766440004.006465,154658540205.90067,129972579335.733,35.518401553354735
2032,9925947247.432055,8165239156.537244,4556258571.565877,3748049427.2708263,5369688675.866178,4417189729.2664175,160028228881.76685,131641719227.83044,35.12272764334553
2033,9824243826.055109,7912254096.781734,4760198923.006829,3833771239.4889326,5064044903.04828,4078482857.2928023,165092273784.81512,132962092831.67152,34.681801423654136
2034,9674186424.761442,7629652170.586673,4953646704.007772,3906747262.0556207,4720539720.75367,3722904908.5310516,169812813505.5688,133924719275.62027,34.280364275510586
2035,9523353791.701492,7356215843.991075,5147707999.861657,3976293643.7181644,4375645791.839835,3379922200.2729096,174188459297.40863,134550068405.58171,33.83806138617223
2036,9371573785.389294,7091472328.208626,5342265067.252923,4042493370.0509706,4029308718.1363707,3048978958.1576552,178217768015.545,134857431549.83255,33.35996356825989
2037,9218689673.822905,6834984206.449906,5537207632.112382,4105434508.853288,3681482041.7105227,2729549697.596618,181899250057.25552,134864991153.43881,32.85035746218948
2038,9064559626.267986,6586346577.928398,5732432741.735453,4165209378.988731,3332126884.5325336,2421137198.9396667,185231376941.78806,134589885879.29915,32.31287400778305
2039,8909056224.079338,6345184436.056153,5927844608.911814,4221913792.6378474,2981211615.1675243,2123270643.4183064,188212588556.95557,134048271505.3073,31.750594182917716
2040,8752066189.270847,6111150401.094022,6123354694.526604,4275646537.4280734,2628711494.7442436,1835503863.665948,190841300051.6998,133255377888.477,31.16613516154542
