age, total , male , female ,
0," 391,667 "," 195,833 "," 195,833 ",
1," 391,667 "," 195,833 "," 195,833 ",
2," 391,667 "," 195,833 "," 195,833 ",
3," 391,667 "," 195,833 "," 195,833 ",
4," 391,667 "," 195,833 "," 195,833 ",
5," 391,667 "," 195,833 "," 195,833 ",
6," 391,667 "," 195,833 "," 195,833 ",
7," 391,667 "," 195,833 "," 195,833 ",
8," 391,667 "," 195,833 "," 195,833 ",
9," 391,667 "," 195,833 "," 195,833 ",
10," 391,667 "," 195,833 "," 195,833 ",
11," 391,667 "," 195,833 "," 195,833 ",
12," 391,667 "," 195,833 "," 195,833 ",
13," 391,667 "," 195,833 "," 195,833 ",
14," 391,667 "," 195,833 "," 195,833 ",
15," 391,667 "," 195,833 "," 195,833 ",
16," 391,667 "," 195,833 "," 195,833 ",
17," 391,667 "," 195,833 "," 195,833 "," 7,050,000 "
18," 744,894 "," 372,447 "," 372,447 "," 35,010,000 "
19," 744,894 "," 372,447 "," 372,447 ",
20," 744,894 "," 372,447 "," 372,447 ",
21," 744,894 "," 372,447 "," 372,447 ",
22," 744,894 "," 372,447 "," 372,447 ",
23," 744,894 "," 372,447 "," 372,447 ",
24," 744,894 "," 372,447 "," 372,447 ",
25," 744,894 "," 372,447 "," 372,447 ",
26," 744,894 "," 372,447 "," 372,447 ",
27," 744,894 "," 372,447 "," 372,447 ",
28," 744,894 "," 372,447 "," 372,447 ",
29," 744,894 "," 372,447 "," 372,447 ",
30," 744,894 "," 372,447 "," 372,447 ",
31," 744,894 "," 372,447 "," 372,447 ",
32," 744,894 "," 372,447 "," 372,447 ",
33," 744,894 "," 372,447 "," 372,447 ",
34," 744,894 "," 372,447 "," 372,447 ",
35," 744,894 "," 372,447 "," 372,447 ",
36," 744,894 "," 372,447 "," 372,447 ",
37," 744,894 "," 372,447 "," 372,447 ",
38," 744,894 "," 372,447 "," 372,447 ",
39," 744,894 "," 372,447 "," 372,447 ",
40," 744,894 "," 372,447 "," 372,447 ",
41," 744,894 "," 372,447 "," 372,447 ",
42," 744,894 "," 372,447 "," 372,447 ",
43," 744,894 "," 372,447 "," 372,447 ",
44," 744,894 "," 372,447 "," 372,447 ",
45," 744,894 "," 372,447 "," 372,447 ",
46," 744,894 "," 372,447 "," 372,447 ",
47," 744,894 "," 372,447 "," 372,447 ",
48," 744,894 "," 372,447 "," 372,447 ",
49," 744,894 "," 372,447 "," 372,447 ",
50," 744,894 "," 372,447 "," 372,447 ",
51," 744,894 "," 372,447 "," 372,447 ",
52," 744,894 "," 372,447 "," 372,447 ",
53," 744,894 "," 372,447 "," 372,447 ",
54," 744,894 "," 372,447 "," 372,447 ",
55," 744,894 "," 372,447 "," 372,447 ",
56," 744,894 "," 372,447 "," 372,447 ",
57," 744,894 "," 372,447 "," 372,447 ",
58," 744,894 "," 372,447 "," 372,447 ",
59," 744,894 "," 372,447 "," 372,447 ",
60," 744,894 "," 372,447 "," 372,447 ",
61," 744,894 "," 372,447 "," 372,447 ",
62," 744,894 "," 372,447 "," 372,447 ",
63," 744,894 "," 372,447 "," 372,447 ",
64," 744,894 "," 372,447 "," 372,447 ",
65," 263,889 "," 131,944 "," 131,944 "," 9,500,000 "
66," 263,889 "," 131,944 "," 131,944 ",
67," 263,889 "," 131,944 "," 131,944 ",
68," 263,889 "," 131,944 "," 131,944 ",
69," 263,889 "," 131,944 "," 131,944 ",
70," 263,889 "," 131,944 "," 131,944 ",
71," 263,889 "," 131,944 "," 131,944 ",
72," 263,889 "," 131,944 "," 131,944 ",
73," 263,889 "," 131,944 "," 131,944 ",
74," 263,889 "," 131,944 "," 131,944 ",
75," 263,889 "," 131,944 "," 131,944 ",
76," 263,889 "," 131,944 "," 131,944 ",
77," 263,889 "," 131,944 "," 131,944 ",
78," 263,889 "," 131,944 "," 131,944 ",
79," 263,889 "," 131,944 "," 131,944 ",
80," 263,889 "," 131,944 "," 131,944 ",
81," 263,889 "," 131,944 "," 131,944 ",
82," 263,889 "," 131,944 "," 131,944 ",
83," 263,889 "," 131,944 "," 131,944 ",
84," 263,889 "," 131,944 "," 131,944 ",
85," 263,889 "," 131,944 "," 131,944 ",
86," 263,889 "," 131,944 "," 131,944 ",
87," 263,889 "," 131,944 "," 131,944 ",
88," 263,889 "," 131,944 "," 131,944 ",
89," 263,889 "," 131,944 "," 131,944 ",
90," 263,889 "," 131,944 "," 131,944 ",
91," 263,889 "," 131,944 "," 131,944 ",
92," 263,889 "," 131,944 "," 131,944 ",
93," 263,889 "," 131,944 "," 131,944 ",
94," 263,889 "," 131,944 "," 131,944 ",
95," 263,889 "," 131,944 "," 131,944 ",
96," 263,889 "," 131,944 "," 131,944 ",
97," 263,889 "," 131,944 "," 131,944 ",
98," 263,889 "," 131,944 "," 131,944 ",
99," 263,889 "," 131,944 "," 131,944 ",
100," 263,889 "," 131,944 "," 131,944 ",
