contribution_rate,income_replacement,max_reserve,max_reserve_year,first_deficit_year,depletion_year
7.000000000000001,40.0,1658.3,2038,2039,2053.0
7.000000000000001,41.0,1630.7,2037,2038,2053.0
7.000000000000001,42.0,1604.4,2037,2038,2052.0
7.000000000000001,43.0,1578.0,2037,2038,2052.0
7.000000000000001,44.0,1553.9,2036,2037,2051.0
7.000000000000001,45.0,1531.0,2036,2037,2051.0
7.000000000000001,46.0,1508.1,2036,2037,2050.0
7.000000000000001,47.0,1486.1,2035,2036,2050.0
7.000000000000001,48.0,1466.3,2035,2036,2049.0
7.000000000000001,49.0,1446.4,2035,2036,2049.0
7.000000000000001,50.0,1426.6,2035,2036,2049.0
8.0,40.0,1876.9,2039,2040,2056.0
8.0,41.0,1842.6,2039,2040,2055.0
8.0,42.0,1809.4,2038,2039,2054.0
8.0,43.0,1779.3,2038,2039,2054.0
8.0,44.0,1749.2,2038,2039,2053.0
8.0,45.0,1720.3,2037,2038,2053.0
8.0,46.0,1694.0,2037,2038,2052.0
8.0,47.0,1667.6,2037,2038,2052.0
8.0,48.0,1641.3,2037,2038,2051.0
8.0,49.0,1618.3,2036,2037,2051.0
8.0,50.0,1595.4,2036,2037,2050.0
9.0,40.0,2120.9,2041,2042,2058.0
9.0,41.0,2079.4,2040,2041,2058.0
9.0,42.0,2040.5,2040,2041,2057.0
9.0,43.0,2002.2,2039,2040,2056.0
9.0,44.0,1967.9,2039,2040,2055.0
9.0,45.0,1933.7,2039,2040,2055.0
9.0,46.0,1900.3,2038,2039,2054.0
9.0,47.0,1870.2,2038,2039,2054.0
9.0,48.0,1840.1,2038,2039,2053.0
9.0,49.0,1810.0,2038,2039,2052.0
9.0,50.0,1783.6,2037,2038,2052.0
10.0,40.0,2393.9,2042,2043,2061.0
10.0,41.0,2344.5,2042,2043,2060.0
10.0,42.0,2296.5,2041,2042,2059.0
10.0,43.0,2252.6,2041,2042,2058.0
10.0,44.0,2208.7,2041,2042,2058.0
10.0,45.0,2169.4,2040,2041,2057.0
10.0,46.0,2130.5,2040,2041,2056.0
10.0,47.0,2093.3,2039,2040,2056.0
10.0,48.0,2059.0,2039,2040,2055.0
10.0,49.0,2024.7,2039,2040,2054.0
10.0,50.0,1991.2,2038,2039,2054.0
11.0,40.0,2698.2,2044,2045,2064.0
11.0,41.0,2637.4,2043,2044,2063.0
11.0,42.0,2581.9,2043,2044,2062.0
11.0,43.0,2527.6,2042,2043,2061.0
11.0,44.0,2478.2,2042,2043,2060.0
11.0,45.0,2428.8,2042,2043,2059.0
11.0,46.0,2384.3,2041,2042,2059.0
11.0,47.0,2340.4,2041,2042,2058.0
11.0,48.0,2298.3,2040,2041,2057.0
11.0,49.0,2259.4,2040,2041,2056.0
11.0,50.0,2220.6,2040,2041,2056.0
12.0,40.0,3033.3,2046,2047,2068.0
12.0,41.0,2963.4,2045,2046,2067.0
12.0,42.0,2895.1,2044,2045,2065.0
12.0,43.0,2833.1,2044,2045,2064.0
12.0,44.0,2772.1,2043,2044,2063.0
12.0,45.0,2716.7,2043,2044,2062.0
12.0,46.0,2661.3,2042,2043,2061.0
12.0,47.0,2611.9,2042,2043,2060.0
12.0,48.0,2562.5,2042,2043,2059.0
12.0,49.0,2516.0,2041,2042,2059.0
12.0,50.0,2472.1,2041,2042,2058.0
13.0,40.0,3405.5,2047,2048,2073.0
13.0,41.0,3320.2,2047,2048,2071.0
13.0,42.0,3242.4,2046,2047,2069.0
13.0,43.0,3166.6,2045,2046,2068.0
13.0,44.0,3097.5,2045,2046,2066.0
13.0,45.0,3030.0,2044,2045,2065.0
13.0,46.0,2968.0,2044,2045,2064.0
13.0,47.0,2906.9,2043,2044,2063.0
13.0,48.0,2851.5,2043,2044,2062.0
13.0,49.0,2796.0,2043,2044,2061.0
13.0,50.0,2745.6,2042,2043,2060.0
14.000000000000002,40.0,3821.5,2050,2051,2080.0
14.000000000000002,41.0,3715.3,2049,2050,2077.0
14.000000000000002,42.0,3620.1,2048,2049,2074.0
14.000000000000002,43.0,3534.6,2047,2048,2072.0
14.000000000000002,44.0,3451.4,2046,2047,2070.0
14.000000000000002,45.0,3374.6,2046,2047,2068.0
14.000000000000002,46.0,3300.7,2045,2046,2067.0
14.000000000000002,47.0,3231.5,2045,2046,2066.0
14.000000000000002,48.0,3164.9,2044,2045,2065.0
14.000000000000002,49.0,3102.9,2044,2045,2064.0
14.000000000000002,50.0,3041.6,2043,2044,2063.0
15.0,40.0,4324.7,2054,2055,
15.0,41.0,4177.6,2052,2053,2087.0
15.0,42.0,4049.8,2050,2051,2082.0
15.0,43.0,3939.2,2049,2050,2078.0
15.0,44.0,3839.4,2048,2049,2075.0
15.0,45.0,3749.0,2047,2048,2073.0
15.0,46.0,3663.7,2047,2048,2071.0
15.0,47.0,3583.6,2046,2047,2069.0
15.0,48.0,3506.7,2046,2047,2068.0
15.0,49.0,3434.7,2045,2046,2067.0
15.0,50.0,3365.6,2045,2046,2065.0
