year,total_population,working_age_population,elderly_population,elderly_dependency,total_subscribers,total_income_nominal,total_income_real
2023,51559999.99999999,35010000.00000001,9499999.999999996,27.135104255926862,23538638.297872342,95376178723.40428,95376178723.40428
2024,50827517.68306476,34576726.101921566,9584235.078841072,27.718746565506784,23307625.33461273,94614443217.09056,92037396125.57448
2025,50149322.14338169,34147558.666429445,9718153.12219328,28.459291093472,23079738.071862783,93865722298.34856,89169012093.36674
2026,49518161.40379606,33722432.89093167,9894604.141130827,29.341311681553062,22854933.416497003,93129848785.49309,86565517710.16536
2027,48927720.99680065,33301286.891483534,10107371.717842929,30.351294683533048,22633170.2276066,92406663256.20035,84209124004.98444
2028,48372507.706414536,32884061.531164758,10351057.031060003,31.477428727136207,22414409.2148326,91696013678.41048,81923056137.10661
2029,47840672.97434547,32470700.236589257,10613902.556821711,32.687630631573356,22198612.828324206,90997755005.59543,79705115535.54195
2030,47328270.13253718,32061153.36305486,10892044.424105044,33.97271551888807,21985748.26738566,90311761580.81812,77553188748.34862
2031,46831367.09134552,31655087.14247655,11182059.992618892,35.32468554671639,21775587.3293659,89637103413.09192,75464550255.09628
2032,46347046.12273647,31252461.498691455,11481090.80635399,36.73659691360536,21568102.009248998,88973669466.07533,73437266742.09789
2033,45872803.83070785,30853238.3712933,11786690.324299715,38.20244145025106,21363265.70328486,88321354439.00438,71469468283.81741
2034,45406497.65879299,30457381.481915068,12096770.769334575,39.71704125818359,21055163.721851043,87023544292.86032,69038512585.25842
2035,44946297.42874159,30064856.124179438,12409556.48981917,41.275955017256436,20749373.461372696,85736162598.26698,66683521792.41447
2036,44484609.42243387,29675628.977172107,12717506.884234358,42.85505420632285,20445870.683616064,84459101565.87608,64402210281.56551
2037,44021429.42875914,29289672.043951597,13020665.349052532,44.45480075541282,20144634.803944074,83192268583.10179,62192370542.64345
2038,43556754.00215297,28906957.536733266,13319076.203362063,46.07567637111917,19845645.34814358,81935571565.88495,60051859435.435776
2039,43090364.336401425,28527457.876063783,13612784.657435888,47.71818336066256,19548881.950168505,80688918949.56819,57978596345.4682
2040,42622250.18119615,28151145.840635594,13901836.857737316,49.382845502758556,19254324.45281768,79452220104.56349,55970561691.36374
2041,42151927.056359515,27777799.116972063,14186180.055829208,51.070208968289144,18961819.485566486,78224834918.04062,54025415018.26407
2042,41679405.0441812,27025147.330518022,14465854.079914331,53.52738285936681,18480226.815584283,76433317197.91757,51753055191.54509
2043,41204694.84046092,26275599.99011069,14740899.505069405,56.10109573375076,18000746.15450178,74651240714.2312,49555303819.65912
2044,40727807.71294302,25529117.18218277,15011357.624157822,58.80092725899083,17523352.504384924,72878505236.09515,47429920609.64604
2045,40248539.36927328,24785658.99541627,15277054.32896839,61.63666792879564,17047198.486128427,71110207948.91786,45371665131.48774
2046,39768131.77005244,24046599.95884199,15537846.686026117,64.61556607845017,16573396.98976372,69351038417.82622,43381600034.66921
2047,39286433.58248251,23311894.229570184,15793619.002816515,67.7491878063815,16101924.637775201,67600913928.06096,41457679836.62847
2048,38803318.30893833,22581496.14191631,16044280.398122925,71.05056413131614,15632758.117958765,65859752061.405975,39597917415.60305
2049,38292959.14295162,21855253.26073261,16264039.695153719,74.41707264209727,15165820.704520797,64127310242.98963,37800287816.102455
2050,37758432.119509235,21130451.32682,16458680.871102005,77.89081556536223,14700026.668439062,62399687545.022026,36060714346.88568
2051,37202790.21194802,20407243.679324705,16631105.897671686,81.49609108907366,14235484.650349358,60677357062.98463,34377824860.564896
2052,36628519.10831948,19685605.942772184,16783817.43811235,85.25933866046292,13657380.430241466,58248515297.46544,32354629214.59271
2053,36037853.49795847,18965509.262913678,16919070.27773729,89.20968081158716,13080531.586226933,55825083072.69121,30400503275.420517
2054,35432801.779516526,18246921.87519105,17038896.024823893,93.37956364021255,12504909.413224632,53406938958.95146,28513393688.14927
2055,34815128.79747533,17529809.20390024,17145085.62756643,97.80531794808005,11930482.971140781,50993952247.29567,26691299884.53551
2056,34185851.16289913,16814133.955777872,17238477.680823777,102.52373227287205,11391069.07025274,48642851075.985405,24961455310.091503
2057,33546480.420826096,16099639.900807245,17320615.849117123,107.58387116626538,10852556.231411247,46296096360.94537,23291372524.08854
2058,32898370.227112167,15386276.07395569,17392888.713534113,113.04157438702799,10314905.749164388,43953523072.02278,21679248721.844498
2059,32242732.016016897,14673809.730066063,17456545.452109385,118.96396214230313,9777955.169274023,41614489310.837555,20123102258.824318
2060,31488613.898098785,13962199.383915158,17420674.77763401,124.77027650602892,9241670.113813631,39278840768.63678,18621251039.75694
2061,30738274.926767964,13251327.204775896,17387653.217962302,131.21442817965917,8705965.724017892,36946208732.62026,17171961287.962662
2062,29991636.436843622,12541151.1203857,17357443.225082267,138.4039077311465,8170807.746247773,34616440066.521736,15773651912.334755
2063,29248620.330803756,11831627.265529802,17330009.595285654,146.47190286136555,7636160.06547509,32289372743.473343,14424782920.905052
2064,28510687.555941463,11124248.265368465,17305319.56179792,155.5639459762158,7103215.5216873195,29970005633.381508,13126118798.158518
2065,27777754.601247627,10418961.093469383,17283341.54615812,165.8835405095364,6571930.572452381,27658144533.612514,11876059806.35581
2066,27049738.559082013,9715710.826784771,17264046.462776016,177.69205743733752,6140175.362558576,25925413386.864372,10913771391.603796
2067,26326557.062357668,9014440.459353171,17247407.83481139,191.33087530591968,5709630.475111018,24197668041.41405,9986711527.25771
2068,25608128.210831527,8315090.688526646,17233401.927459,207.2545276173361,5280254.599404659,22474733701.919884,9093757597.003712
2069,24894370.49244571,7617589.796362357,17222007.90122179,226.08211208019955,4851946.01072777,20756080323.58471,8233680106.091141
2070,24185202.699161123,6921874.601586375,17213207.988221068,248.67841414341854,4424665.398044355,19041550564.912697,7405438604.450196
2071,23480835.164344184,6548780.896272252,16886376.28613598,257.8552642637376,4126751.2301858,17793183046.617332,6784251669.262829
2072,22781177.975699145,6176557.894471858,16563173.753875248,268.1618797534403,3829483.4094146653,16547563992.78161,6185605252.399443
2073,22086140.821265794,5805162.125175182,16243553.598804533,279.8122300212994,3532823.622683175,15304532953.531967,5608775291.767472
2074,21395849.3932307,5434756.348912583,15927470.960009202,293.06688170475314,3273804.715913332,14126342301.677181,5075484595.037721
2075,20710065.385824542,5065291.267789702,15614736.86645799,308.2692789208874,3015306.845686541,12950523485.063694,4561786339.530897
2076,20033326.98753457,4696714.613745771,15309941.766646428,325.9713017656887,2757292.394366314,11776899331.071825,4067039660.4820943
2077,19365322.60350582,4328968.7186918855,15012831.688766956,346.79926477508684,2499719.980350619,10605275687.95845,3590618264.4336295
2078,18705756.69532912,3961992.4681742806,14723172.108398851,371.6103002887184,2242545.59266581,9435446252.520687,3131911967.93575
2079,18054348.955404162,3595721.7875112877,14440746.648051964,401.60912054452524,1985720.0019944452,8267175567.241989,2690320929.198248
