year,total_revenue,total_expenditure,balance,reserve_fund,fund_ratio
2023,10871356085.106384,2565945911.392405,8305410173.71398,99805410173.71397,38.89614731572996
2024,10735727158.427246,2687592897.8024993,8048134260.624746,108078892193.63622,40.21401168384041
2025,10634544342.792225,2834843115.658488,7799701227.133738,116289419283.80554,41.021465576515126
2026,10548617108.359413,3002948735.256593,7545668373.102819,124407281605.44475,41.428373433359496
2027,10475733574.975384,3192315574.477054,7283418000.498329,132399721409.0741,41.47450912047222
2028,10399354398.832718,3396852702.890421,7002501695.942297,140237581976.9171,41.284563754438736
2029,10318789022.538202,3613578242.001655,6705210780.536547,147892788594.06406,40.92696454585203
2030,10233428336.420784,3841708253.583785,6391720082.836999,155336035087.58484,40.43410504758598
2031,10178135087.868015,4032943635.009195,6145191452.85882,162635318789.55,40.32670265404768
2032,10122276892.64309,4230988122.9298315,5891288769.713258,169772969780.38116,40.126080444494015
2033,10065393698.843723,4435017914.347039,5630375784.496684,176730939767.12466,39.84897990950832
2034,9960162055.736301,4632673689.85194,5327488365.884361,183446277372.43152,39.598359317704166
2035,9853888786.138363,4833619067.015395,5020269719.122968,189900925377.76294,39.28752405700449
2036,9746138173.198364,5034757071.591188,4711381101.607176,196079580011.45477,38.94519183812093
2037,9636552697.07388,5235851101.602551,4400701595.471328,201966224078.7284,38.57371421752464
2038,9524778320.395279,5436671860.213491,4088106460.1817875,207544091984.67245,38.17484249941884
2039,9410464329.182522,5636997551.893134,3773466777.2893877,212795632624.55533,37.74981817281256
2040,9293263204.713842,5836614078.383813,3456649126.3300295,217702470056.7728,37.29944572882497
2041,9216336752.779222,6008329534.546694,3208007218.2325287,222347429007.61633,37.00653030583011
2042,9104723547.391384,6195514695.452865,2909208851.9385195,226643996276.00696,36.58194797638847
2043,8992857269.28946,6382478930.636395,2610378338.653064,230576329784.1046,36.12645373215731
2044,8880219450.550236,6569217198.52887,2311002252.021366,234127303253.16653,35.64006123980764
2045,8765995926.897228,6755517127.843723,2010478799.053505,237278291101.27106,35.12363104273667
2046,8649909825.145649,6941311655.787261,1708598169.358388,240009703893.54025,34.576995789179726
2047,8531385263.167367,7126557171.448539,1404828091.7188282,242300417297.8177,33.9996454765784
2048,8409820913.360628,7311240009.487814,1098580903.8728142,244127590812.75485,33.39072311891688
2049,8284577719.704318,7483549948.764584,801027770.9397345,245486515819.62796,32.80348464302746
2050,8155194607.61227,7645992599.63291,509202007.9793606,246367642185.83246,32.22179971736577
2051,8021357081.16749,7748472799.769777,272884281.3977127,246849286881.10922,31.857798724987923
2052,7848902366.935528,7813303574.178255,35598792.75727272,246913375911.7929,31.60166164896024
2053,7674312813.023705,7868907621.958831,-194594808.9351263,246556037374.47003,31.332943429966726
2054,7497326179.422834,7916317488.440865,-418991309.01803017,245771246777.11798,31.046158410900617
2055,7317641925.150555,7956467776.435906,-638825851.2853518,244550764631.41113,30.736096909193726
2056,7137546270.536457,7975448193.13201,-837901922.5955534,242917929609.14304,30.458216732989346
2057,6954582119.350829,7987055235.800314,-1032473116.4494848,240865690101.15375,30.157008182630737
2058,6768446186.989079,7991893908.081741,-1223447721.0926619,238385214955.24728,29.82837581392091
2059,6578783502.399135,7990491014.026022,-1411707511.6268873,235465809865.6635,29.468252883626445
2060,6385228790.891396,7941321126.770991,-1556092335.8795958,232183457731.97418,29.237384312449024
2061,6189145670.556123,7759135030.322309,-1569989359.7661858,228805558514.68585,29.48853933080495
2062,5995739842.403845,7580928599.41504,-1585188757.0111952,225326745117.11798,29.722842282738906
2063,5804765365.223814,7406319757.366545,-1601554392.1427307,221741721548.97134,29.939528512581496
2064,5616185122.813694,7234863706.255151,-1618678583.4414568,218045898967.2665,30.138217915390364
2065,5429763361.917353,7066046867.500365,-1636283505.5830126,214235159847.27988,30.31895540243794
2066,5266942622.1899395,6942342984.098643,-1675400361.9087038,210255284750.72058,30.285925836897988
2067,5103909732.467606,6825079718.053163,-1721169985.585557,206084912968.14032,30.195238954208953
2068,4940136443.093141,6714735639.32629,-1774599196.2331495,201699086324.1442,30.038276584241114
2069,4775012936.031087,6611975054.66087,-1836962118.6297827,197068334000.22824,29.804760660933248
2070,4607856154.405083,6517807957.843712,-1909951803.4386292,192157288782.74878,29.481888700249495
2071,4453728425.888631,6280576581.249575,-1826848155.3609438,187365980144.5413,29.832608156377773
2072,4304024075.606775,6052780972.118674,-1748756896.511899,182687752958.6691,30.182448993313287
2073,4158544835.432454,5834404333.919406,-1675859498.4869518,178114874641.0568,30.528373497454144
2074,4019091106.374531,5586514856.279509,-1567423749.9049778,173752342550.11432,31.102099792110714
2075,3885607621.560067,5344505014.028969,-1458897392.4689016,169610656917.067,31.73552208705022
2076,3758246707.784728,5109030737.862561,-1350784030.0778332,165699200706.0989,32.43260986435592
2077,3637139657.921005,4878764802.074257,-1241625144.1532521,162031927834.10413,33.21167025006301
2078,3522510633.7963,4651992929.711602,-1129482295.9153023,158629159938.52158,34.09918336835385
2079,3414712082.398274,4426343570.106279,-1011631487.7080054,155520484305.26743,35.13520399898223
2080,3314283733.222574,4198291285.86009,-884007552.6375155,152749658537.8553,36.383768570875134
2081,3222050527.9607944,3962112777.281085,-740062249.3202906,150383620810.39096,37.95541148467473
2082,3139301677.9067187,3707598035.7480335,-568296357.8413148,148530394494.96487,40.061083500115146
2083,3068149190.915559,3414019831.3595147,-345870640.4439559,147379945270.656,43.16903607790909
2084,3029059052.3416123,3307394384.973207,-278335332.63159466,146435618569.62408,44.2752213751522
2085,2994671071.734146,3213736462.4923477,-219065390.7582016,145677516169.45358,45.32963977278845
2086,2964567567.2605996,3139543772.6434374,-174976205.38283777,145059879223.5598,46.20412700964577
2087,2937813927.9378805,3102495219.3903522,-164681291.45247173,144466955661.9274,46.564763342428456
2088,2912075907.822883,3168601340.9297867,-256525433.10690355,143524881601.49435,45.29597325720337
2089,2892163795.457565,2964133220.958628,-71969425.50106335,143255292194.1229,48.32957276724317
2090,2885703535.9148107,2767430382.9752746,118273152.9395361,143707190938.16138,51.928023852820914
2091,2893681742.2482953,2578228271.6841974,315453470.5640979,144936583104.34332,56.21557435240798
2092,2917227260.06603,2395855088.0240555,521372172.04197454,147009124199.18063,61.35977294036767
2093,2957653840.119768,2220090060.73212,737563779.3876481,149999701662.48218,67.56469222379957
