year,workers,pensioners,avg_pension,fund_income,premium_income,benefit_payment,fund_balance,net_balance
2023,21990000,5270000,15750000,41175000000000,69268500000000,83002500000000,942441000000000,27441000000000
2024,29691148,9439605,16049250,42409845000000,95304132210262,151498577336400,928656399873862,-13784600126138
2025,29542693,9392407,16354186,41789537994324,96629336168646,153605165054263,913470108982570,-15186290891293
2026,29394979,9345445,16664915,41106154904216,97972967088071,155741044874342,896808186100514,-16661922882055
2027,29248004,9298718,16981549,40356368374523,99335281195431,157906624103320,878593211567149,-18214974533366
2028,29101764,9252224,17304198,39536694520522,100716538280453,160102315711476,858744128656647,-19849082910502
2029,28956255,9205963,17632978,38643485789549,102117001745243,162328538411445,837176077779995,-21568050876652
2030,28811474,9159933,17968004,37672923500100,103536938654511,164585716738056,813800223196549,-23375854583445
2031,28667417,9114133,18309397,36621010043845,104976619786502,166874281129298,788523571897597,-25276651298952
2032,28524080,9068563,18657275,35483560735392,106436319684633,169194668008401,761248784309220,-27274787588377
2033,28381459,9023220,19011763,34256195293915,107916316709848,171547319867058,731873976445925,-29374807863295
2034,28239552,8978104,19372987,32934328940067,109416893093698,173932685349809,700292513129880,-31581463316045
2035,28098354,8933213,19741074,31513163090845,110938334992166,176351219339599,666392791873292,-33899721256588
2036,27957862,8888547,20116154,29987675634298,112480932540232,178803383044516,630058017003307,-36334774869986
2037,27818073,8844104,20498361,28352610765149,114044979907204,181289644085750,591165963589910,-38892053413397
2038,27678983,8799884,20887830,26602468361546,115630775352814,183810476586762,549588730717507,-41577232872402
2039,27540588,8755884,21284698,24731492882288,117238621284094,186366361263701,505192483620189,-44396247097319
2040,27402885,8712105,21689108,22733661762908,118868824313050,188957785517073,457837184179074,-47355299441114
2041,27265870,8668545,22101201,20602673288058,120521695315123,191585243524688,407376309257568,-50460874921506
2042,27129541,8625202,22521124,18331933916591,122197549488479,194249236335898,353656556326740,-53719752930828
2043,26993893,8582076,22949025,15914545034703,123896706414117,196950271967149,296517535808411,-57139020518329
2044,26858924,8539165,23385056,13343289111378,125619490116805,199688865498852,235791449537742,-60726086270669
2045,26724629,8496470,23829373,10610615229198,127366229126879,202465539173614,171302754720206,-64488694817536
2046,26591006,8453987,24282131,7708623962409,129137256542888,205280822495823,102867812729681,-68434941990525
2047,26458051,8411717,24743491,4629051572836,130932910095117,208135252332627,30294522065007,-72573290664674
2048,26325761,8369659,25213617,1363253492925,132753532209990,211029373016312,-46618065248390,-76912587313397
2049,26194132,8327810,25692676,-2097812936178,134599470075370,213963736448104,-128080144557302,-81462079308912
2050,26063161,8286171,26180837,-5763606505079,136471075706768,216938902203415,-214311577559027,-86231433001726
2051,25932846,8244741,26678273,-9644020990156,138368706014470,219955437638553,-305542330173266,-91230752614239
2052,25803181,8203517,27185160,-13749404857797,140292722871602,223013917998917,-402012930158379,-96470599985113
2053,25674165,8162499,27701678,-18090581857127,142243493183131,226114926528692,-503974945361068,-101962015202688
2054,25545795,8121687,28228010,-22678872541248,144221388955843,229259054582074,-611691483528547,-107716538167479
2055,25418066,8081078,28764342,-27526116758785,146226787369274,232446901736038,-725437714654095,-113746231125549
2056,25290975,8040673,29310865,-32644697159434,148260070847643,235679075904677,-845501416870564,-120063702216468
